"Time","X","Y","Z"
2024-11-28 17:40:00,,,
2024-11-28 18:00:00,,,
2024-11-28 18:20:00,,,
2024-11-28 18:40:00,,,
2024-11-28 19:00:00,,,
2024-11-28 19:20:00,,,
2024-11-28 19:40:00,,,
2024-11-28 20:00:00,,,
2024-11-28 20:20:00,,,
2024-11-28 20:40:00,,,
2024-11-28 21:00:00,,,
2024-11-28 21:20:00,,,
2024-11-28 21:40:00,,,
2024-11-28 22:00:00,2477 m/s,-1230 m/s,-7172 m/s
2024-11-28 22:20:00,,,
2024-11-28 22:40:00,,,
2024-11-28 23:00:00,,,
2024-11-28 23:20:00,,,
2024-11-28 23:40:00,,,
2024-11-29 00:00:00,,,
2024-11-29 00:20:00,,,
2024-11-29 00:40:00,7175 m/s,777 m/s,2553 m/s
2024-11-29 01:00:00,,,
2024-11-29 01:20:00,,,
2024-11-29 01:40:00,,,
2024-11-29 02:00:00,,,
2024-11-29 02:20:00,6041 m/s,1320 m/s,4631 m/s
2024-11-29 02:40:00,,,
2024-11-29 03:00:00,,,
2024-11-29 03:20:00,,,
2024-11-29 03:40:00,,,
2024-11-29 04:00:00,,,
2024-11-29 04:20:00,,,
2024-11-29 04:40:00,,,
2024-11-29 05:00:00,,,
2024-11-29 05:20:00,,,
2024-11-29 05:40:00,,,
2024-11-29 06:00:00,,,
2024-11-29 06:20:00,,,
2024-11-29 06:40:00,,,
2024-11-29 07:00:00,,,
2024-11-29 07:20:00,,,
2024-11-29 07:40:00,,,

